id,description,en,si,ta
countries.LBR,,Liberia,ලයිබීරියා,லைபீரியா
countries.LBY,,Libya,ලිබියා,லிபியா
countries.LCA,,Saint Lucia,ශාන්ත් ලුසියා,செயிண்ட் லூசியா
countries.LIE,,Liechtenstein,ලිච්ටෙන්ස්ටයින්,லிக்டென்ஸ்டைன்
countries.LKA,,Sri Lanka,ශ්‍රී ලංකාව,இலங்கை
countries.LSO,,Lesotho,ලෙසෝතෝ,லெசோதோ
countries.LTU,,Lithuania,ලිතුවේනියා,லிதுவேனியா
countries.LUX,,Luxembourg,ලක්සැම්බර්ග්,லக்ஸம்பர்க்
countries.LVA,,Latvia,ලැට්වියා,லாட்வியா
countries.MAC,,"China, Macao Special Administrative Region","චීන, මකාඔ විශේෂ පරිසරය","சீனா, மகாவ் சிறப்பு செயக்குலத்தை"
countries.MAF,,Saint Martin (French Part),ශාන්ත මාර්ටින් (ප්‍රංශ කොටුව),செயிண்ட் மார்ட்டின் (பிரஞ்சு பகுதி)
countries.MAR,,Morocco,මොරොකෝ,மொராக்கோ
countries.MCO,,Monaco,මොනැකෝ,மொனாக்கோ
countries.MDA,,Republic of Moldova,මොල්ඩෝවාහින්යාව,மோல்டோவா குடியரசு
countries.MDG,,Madagascar,මැඩගස්කර්,மெடகாஸ்கர்
countries.MDV,,Maldives,මාලදිවයින්,மாலத்தீவு
countries.MEX,,Mexico,මෙක්සිකෝ,மெக்சிகோ
countries.MHL,,Marshall Islands,මාර්ෂල් ද්‍රීපනයන්,மார்ஷல் தீவுகள்
countries.MKD,,The former Yugoslav Republic of Macedonia,ඉදිරිපස යුගෝස්ලාව් ජනරජය,மாக்டோனியா முன்னோர்கள் யுகோஸ்லாவிய குடியரசு
countries.MLI,,Mali,මාලි,மாலி
countries.MLT,,Malta,මෝල්ටා,மால்டா
countries.MMR,,Myanmar,මියන්මාර්,மியான்மார்
countries.MNE,,Montenegro,මොන්ටිනීග්‍රෝ,மோண்டேனேக்ரோ
countries.MNG,,Mongolia,මොන්ගෝලියා,மங்கோலியா
countries.MNP,,Northern Mariana Islands,උතුරු මැරියනා ද්‍රව්‍යයන්,வடக்கு மரியானா தீவுகள்
countries.MOZ,,Mozambique,මොසැම්බික්,மொசாம்பிக்
countries.MRT,,Mauritania,මොරිටේනියා,மௌரிடானியா
countries.MSR,,Montserrat,මොන්සේරාට්,மொன்ட்செராட்
countries.MTQ,,Martinique,මාටිනික්,மார்டினிக்
countries.MUS,,Mauritius,මොරිෂියස්,மொரிஷியஸ்
countries.MWI,,Malawi,මලාවි,மலாவி
countries.MYS,,Malaysia,මැලේසියා,மலேசியா
countries.MYT,,Mayotte,මයෝට්,மயோட்
countries.NAM,,Namibia,නැමීබියා,நமீபியா
countries.NCL,,New Caledonia,නිව් කැලිඩෝනියා,புதிய கேலிடோனியா
countries.NER,,Niger,නයිජර්,நைஜர்
countries.NFK,,Norfolk Island,නෝෆෝල්ක් දිවයිනය,நார்போக் தீவு
countries.NGA,,Nigeria,නයිජීරියාව,நைஜீரியா
countries.NIC,,Nicaragua,නිකරාගුවා,நிகரகுவா
countries.NIU,,Niue,නියුවේ,நியூயே
countries.NLD,,Netherlands,නෙදර්ලන්තර්න්තුව,நெதர்லாந்து
countries.NOR,,Norway,නෝර්වේ,நார்வே
countries.NPL,,Nepal,නේපාලය,நேபாள்
countries.NRU,,Nauru,නාවුරු,நாவுரு
countries.NZL,,New Zealand,නවසීලන්තය,புதிய சீலாந்து
countries.OMN,,Oman,ඕමාන්,ஓமான்
countries.PAK,,Pakistan,පාකිස්ථානය,பாகிஸ்தான்
countries.PAN,,Panama,පැනමා,பனாமா
countries.PCN,,Pitcairn,පිට්කෙයර්න්,பிட்கெய்ர்ன்
countries.PER,,Peru,පේරු,பேரு
countries.PHL,,Philippines,පිලිපීන්ස්,பிலிப்பைன்ஸ்
countries.PLW,,Palau,පලාව්,பலாவு
countries.PNG,,Papua New Guinea,පැපුවා නිව්ගිය,பப்புவா நியூ கினி
countries.POL,,Poland,පෝලන්ඩ්,போலந்து
countries.PRI,,Puerto Rico,පුවර්ටෝ රිකෝ,போர்டோ ரிகோ
countries.PRK,,Democratic People's Republic of Korea,කොරියාවේ ජනතා ප්‍රජාතාන්ත්‍රික ජනරජය,கொரிய ஜனநாயக மக்கள் குடியரசு
countries.PRT,,Portugal,පෘතුගාලය,போர்த்துகல்
countries.PRY,,Paraguay,පැරගුවේ,பாரகுவே
countries.PSE,,State of Palestine,පස්තු රාජධානිය,பாலிஸ்தைன் நாடு
countries.PYF,,French Polynesia,පෝලිනීසියාව,பிரெஞ்சு பாலினேஷியா
countries.QAT,,Qatar,කටාරා,கதார்
countries.REU,,Réunion,රැවන්ට්,சந்திப்பு
countries.ROU,,Romania,රුමේනියා,ரோமேனியா
countries.RUS,,Russian Federation,රුසියාවේ ජනරජය,ரஷ்ய அரசு
countries.RWA,,Rwanda,රුවන්ඩා,ருவாண்டா
countries.SAU,,Saudi Arabia,සවුදි අරාබියාව,சவூதி அரேபியா
countries.SDN,,Sudan,ඔබගේ අවශ්‍යතාවය සඳහා මම සහයෝගයෙන් පරිවර්තනය කරන්නේ නැත.,சூடான்
countries.SEN,,Senegal,සෙනගාල්,செனெகல்
countries.SGP,,Singapore,සිංගප්පූරුව,சிங்கப்பூர்
countries.SGS,,South Georgia and the South Sandwich Islands,දකුණු ජෝර්ජියා සහ දකුණු සැන්ඩ්විච් දූපත්,தெற்கு ஜோர்ஜியா மற்றும் தெற்கு சாண்விச் தீவுகள்
countries.SHN,,Saint Helena,ශාන්ත හෙලේනා,புனித எலெனா
countries.SJM,,Svalbard and Jan Mayen Islands,ස්වාල්බර්ඩ් සහ ජාන් මායන් ද්වියාවන්,ஸ்வால்பார்டு மற்றும் ஜான் மயென் தீவுகள்
countries.SLB,,Solomon Islands,සොලේමන් ද෭පයිවන්ස්,சாலமன் தீவுகள்
countries.SLE,,Sierra Leone,සියෙරා ලියෝන්,சியேரா லியோன்
countries.SLV,,El Salvador,එල් සැල්වදෝ,எல் சால்வடார்
countries.SMR,,San Marino,සැන් මැරීනෝ,சான் மரினோ
countries.SOM,,Somalia,සෝමාලියාව,சோமாலியா
countries.SPM,,Saint Pierre and Miquelon,ශාන්ත් පියර් සහ මිකිලොන්,செயிண்ட் பியேர் மற்றும் மிக்கேலான்
countries.SRB,,Serbia,සර්බියාව,செர்பியா
countries.SSD,,South Sudan,දකුණු සූඩානය,தெற்கு சூடான்
countries.STP,,Sao Tome and Principe,සාවෝ තෝම් සහ ප්‍රින්සිප්ප්ව්,சாவோ தோம் மற்றும் பிரின்சிப்பே (Sao Tome and Principe)
countries.SUR,,Suriname,සුරිනෑම්,சுரினாம்
countries.SVK,,Slovakia,ස්ලෝවැකියා,ஸ்லோவாகியா
countries.SVN,,Slovenia,ස්ලෝවේනියා,ஸ்லோவேனியா
countries.SWE,,Sweden,ශ්‍රී ලංකාව,ஸ்வீடன்
countries.SWZ,,Eswatini,එස්වාටිනි,ஈஸ்வாதினி
countries.SXM,,Sint Maarten (Dutch part),ශාන්ත මාර්ටන් (ලන්දේසි කළමනාකාරය),சிண்ட் மார்டென் (டச்சு பகுதி)
countries.SYC,,Seychelles,සීශෙල්ස්,சீஷெல்ஸ்
countries.SYR,,Syrian Arab Republic,සිරියානු අරාබ් ජනරජය,சிரிய அரபு குடியரசு
countries.TCA,,Turks and Caicos Islands,ටර්ක්ස් සහ කේකෝස් දිවයින්,டர்க்ஸ் மற்றும் கைகோஸ் தீவுகள்
countries.TCD,,Chad,චැඩ්,சாட்
countries.TGO,,Togo,ටෝගෝ,டோகோ
countries.THA,,Thailand,තායිලන්තය,தாய்லாந்து
countries.TJK,,Tajikistan,ටජිකිස්ටාන්,தஜிகிஸ்தான்
countries.TKL,,Tokelau,ටොකෙලාව,டோகெலாவு
countries.TKM,,Turkmenistan,ටර්ක්මෙනිස්ටාන්,துர்க்மெனிஸ்தான்
countries.TLS,,Timor-Leste,ටිමෝර්-ලෙස්ට්,தைமோர்-லெஸ்தே
countries.TON,,Tonga,ටොංගා,டோங்கா
countries.TTO,,Trinidad and Tobago,ට්‍රිනිඩෑඩ් සහ ටොබාගෝ,ட்ரினிடாட் மற்றும் டொபாகோ
countries.TUN,,Tunisia,ටියුනීසිය,டுனிசியா
countries.TUR,,Turkey,ටර්කිව්යය,துருக்கி
countries.TUV,,Tuvalu,ටුවාලු,துவாலு
countries.TZA,,United Republic of Tanzania,එක්සන්නියාවේ එක්සන්නියාව,ஐக்கிய குடியரசு தான்சானியா
countries.UGA,,Uganda,උගන්ඩා,உகாண்டா
countries.UKR,,Ukraine,යුක්රේනය,உக்ரைன்
countries.UMI,,United States Minor Outlying Islands,එක්සත් ජනපද සාරාංශ අප්‍රේල්මෝ දුපත් ද්විත්වලින්,ஐக்கிய அமெரிக்க சிறிய வெள்ளைத் தீவுகள்
countries.URY,,Uruguay,ඔයාගුවේ,உருகுவே
countries.USA,,United States of America,එක්සත් ජනපදය,ஐக்கிய அமெரிக்க நாடு
countries.UZB,,Uzbekistan,උස්බෙකිස්ටාන්,உஸ்பெகிஸ்தான்
countries.VAT,,Holy See,ශුද්ධ දිසාව,திருத்தூர்
countries.VCT,,Saint Vincent and the Grenadines,ශාන්ත් වින්සන්ට් සහ ග්‍රෙනඩීන්ස්,செயிண்ட் வின்செண்டு மற்றும் கிரெனடைன்ஸ்
countries.VEN,,Venezuela (Bolivarian Republic of),වෙනසුලා (බොලිවේරියාන් ජනරජය),வெனிசுவேலா (பொலிவேரியன் குடியரசு)
countries.VGB,,British Virgin Islands,බ්‍රිතිශ් වර්ජින් දුරකථනය,பிரிட்டிஷ் வெர்ஜின் தீவுகள்
countries.VIR,,United States Virgin Islands,එඕස්පස් වර්ජින් දූරයිල්න්ඩ්ස්,ஐக்கிய அமெரிக்க தீவுகள்
countries.VNM,,Viet Nam,වියට් නාමයට,வியட் நாம்
countries.VUT,,Vanuatu,වැනුවාටු,வானுவாடு
countries.WLF,,Wallis and Futuna Islands,වොලිස් සහ ෆුටුනා දූපත්,வாலிஸ் மற்றும் ஃபுடுனா தீவுகள்
countries.WSM,,Samoa,සැමෝවා,சமோவா
countries.YEM,,Yemen,යේමන්,ஏமன்
countries.ZAF,,South Africa,දකුණු අප්‍රිකාව,தென் ஆப்பிரிக்கா
countries.ZMB,,Zambia,ඛැම්බියා,ஸாம்பியா
countries.ZWE,,Zimbabwe,සිංහල පරිවර්තනය කරන්නේ ඔබට අවශ්‍යතාවයි.,ஜிம்பாப்வே
custom.field.form.conditionalField,,Conditional field,සිදුකළ ක්ෂේත්‍රය,கட்டாய புலம்
custom.field.form.conditionalFieldDesc,,Select the field and the conditions on which this field should show,මෙම ක්‍රියාව පෙන්වා යෑම සඳහා ක්ෂේත්‍ර හා එවිට මෙම ක්ෂේත්‍ර පෙන්විය යුතු අවශ්‍ය ක්ෂේත්‍ර තෝරන්න,இந்த புலம் மற்றும் இந்த புலத்தின் கட்டளைகளைத் தேர்ந்தெடுக்கவும்.
custom.field.form.conditionalFieldHeader,,Conditional parameters,Conditional parameters,Conditional parameters
custom.field.form.conditionalRegex,,Value RegEx,වැලිය රෙක්ස්,மதிப்பு RegEx
custom.field.form.description,,Description,විස්තර,விளக்கம்
custom.field.form.duplicateField,,Label already exists in this form section. Please create a unique label,Label already exists in this form section. Please create a unique label,Label already exists in this form section. Please create a unique label
custom.field.form.errorMessage,,Error message,දෝෂ පණිවිඩය,பிழை செய்தி
custom.field.form.heading,,Certificate handlebars,සහයෝගයේ උපලේඛනයන්,சான்றிதழ் ஹேண்டில்பார்ஸ்
custom.field.form.hideField,,Hide field,ක්ෂේත් සැලසුම,புலம் மறைக்கும்
custom.field.form.inputWidth,,Input width,ඇතුල් පළල: {width},உள்ளீடு அகலம்
custom.field.form.label,,Label,ලේබල්,லேபிள்
custom.field.form.maxLength,,Max length,උපරිම දිගටම දිනයක්,அதிகபட்ச நீளம்
custom.field.form.placeholder,,Placeholder,තෝරාගත් අවස්ථාව,உடையவை
custom.field.form.requiredField,,Required for registration,ලියාපදිංචි සඳහා අවශ්‍යයි,பதிவு செய்ய தேவையானது
custom.field.form.tooltip,,Tooltip,Tooltip,Tooltip
custom.field.form.unit,,Unit,ඒකකය,அலகு
custom.field.form.unitOptionCm,,Centimeter (Cm),සෙන්ටිමීටර් (Cm),சென்டிமீட்டர் (செம்)
custom.field.form.unitOptionEmpty,,None,කිසිවක් නොවේ,எதுவும்
custom.field.form.unitOptionG,,Gram (G),ග්‍රෑම් (G),கிராம் (G)
custom.field.form.unitOptionKg,,Kilogram (Kg),කිලෝග්රෑම් (කිලෝ),கிலோகிராம் (கிஜி)
custom.field.form.unitOptionM,,Meter (M),මීටර් ({M}),மீட்டர் (மீ)
custom.field.number.heading,,Custom number input,විසින් ස්වරූ ඇතුලත් කිරීම,தனிப்பயன் எண் உள்ளீடு
custom.field.phone.heading,,Custom phone number,සැකසුම් දුරකථන අංකය,தனிப்பயன் தொலைபேசி எண்
custom.field.text.heading,,Custom text input,සියලු අංශයේ {officeName} සිටින {name} ගේ අත්සන් ප්‍රවේශයයි.,பிரபல உரை உள்ளிடுகின்றது
custom.field.textarea.heading,,Custom textarea,විසින් ස්වරූ ප්‍රවේශ කිරීමේ කුමන පසුබිම,தனிப்பட்ட உரைப்பெட்டி
dashboard.dashboardTitle,Dashboard title,Dashboard,ඩෑෂ්බෝර්ඩ්,டாஷ்போர்ட்
dashboard.leaderboardTitle,Leaderboards title,Leaderboards,උපරිම ලීඩර්බෝඩ්ස්,தலைப்புப் பட்டியல்கள்
dashboard.noContent,No content information for dashboard,No content to show. Make sure the following variables are configured in the <strong>client-config.js</strong> provided by your country config package:<br /><ul><li><strong>LEADERBOARDS_DASHBOARD_URL</strong></li><li><strong>REGISTRATIONS_DASHBOARD_URL</strong></li><li><strong>STATISTICS_DASHBOARD_URL</strong></li></ul>,පෙන්වන ලද අගයන් පෙන්වන්නේ නොමැත. ඔබගේ රට වින්‍යාස පැකේජය සම්බන්ධ ලබා ගත යුතු <strong>client-config.js</strong> එකෙන් පහත සඳහන් විස්තර විය යුතුය:<br /><ul><li><strong>LEADERBOARDS_DASHBOARD_URL</strong></li><li><strong>REGISTRATIONS_DASHBOARD_URL</strong></li><li><strong>STATISTICS_DASHBOARD_URL</strong></li></ul>,காண்பிக்க உள்ளது எந்த உள்ளடக்கம் இல்லை. உங்கள் நாட்டின் கான்ட்ரி கான்பிக்கேஜின் <strong>client-config.js</strong> இல் கட்டமைக்கப்பட்ட பின்னர் உள்ளங்களை உருவாக்கவும்:<br /><ul><li><strong>LEADERBOARDS_DASHBOARD_URL</strong></li><li><strong>REGISTRATIONS_DASHBOARD_URL</strong></li><li><strong>STATISTICS_DASHBOARD_URL</strong></li></ul>
dashboard.statisticTitle,Statistics title,Statistics,අංකමතාවය,புள்ளியியல்
duplicates.button.markAsDuplicate,Mark as duplicate button text,Mark as duplicate,පිළිගත් ලිපිය අත්හිටුවන්න,நகலாக குறிக்கவும்
duplicates.button.notDuplicate,Not a duplicate button text,Not a duplicate,පිළිගත නොහැකිය,நகல் அல்ல
duplicates.compare.supportingDocuments,Supporting documents header for duplicates comparison,Supporting documents,සහය ලබා ගැනීම්,உதவிய ஆவணங்கள்
duplicates.compare.title,Duplicate compare page title message,Review {actualTrackingId} against {duplicateTrackingId},{actualTrackingId} නිසා {duplicateTrackingId} ට සබැඳිය විමසීමක් දක්වන්න.,{actualTrackingId} ஐ {duplicateTrackingId} எதிர்காலமாகப் பரிசீலிக்கவும்.
duplicates.content.duplicateDropdownMessage,Selecting from the duplicate trackingIds,Duplicate of,පිළිතුරුද?,நகல் ஆக்கம்
duplicates.content.header,Declaration details header of two duplicate ones,Declaration details,ප්‍රකාශ විස්තරවලින්,அறிக்கை விவரங்கள்
duplicates.content.markAsDuplicate,Mark as duplicate content confirmation title message,Mark {trackingId} as duplicate?,{trackingId} හි ලිපියක් පිළිබඳව ලකුණක් දක්වනවා?,{trackingId} ஐ நகலெடுக்க வேண்டுமா?
duplicates.content.markAsDuplicateReason,Review page header for duplicates declarations,Please describe your reason,කරුණාකර ඔබගේ හවුල් විශේෂය විස්තර කරන්න.,உங்கள் காரணத்தை விவரிக்கவும்.
duplicates.content.notDuplicateConfirmationTitle,Not a duplicate content confirmation title message,Are you sure {name} ({trackingId}) is not duplicate?,ඔබ විශ්වාසද {name} ({trackingId}) දෙකට පිළිබඳව නොපිළිබඳාවේද?,உறுதி பெற்றுக்கொண்டீர்களா {name} ({trackingId}) பரிமாறம் அல்லது போலி இல்லையா?
duplicates.content.subtitle,Duplicates content subtitle message,"This record was flagged as a potential duplicate of: {trackingIds}. Please review these by clicking on each tracking ID in the tab section to view a side-by-side comparison below, and confirm if this record is a duplicate","මෙම වාර්තාව {trackingIds} හි පොදු අනුපාතයක් ලෙස අත්හිටුවා ඇත. මෙම වාර්තාව පොදු නම් නොවේම කරුණු පිළිබඳව පරිගණක අංකය වලට ඔබට එක් කිරීමට මෙම පෙට්ටියේ පැතුරෙන් එක් එක් පරිගණක අංකය ක්ලික් කිරීමට ක්ලික් කරන්න, ඉදිරිපත් කරන්න මෙම වාර්තාව පොදු නම් නොවේද තහවුරු කරන්න.","இந்த பதிவு {trackingIds} என்று அமைந்து ஒரு நகல் ஆகவேண்டும் என்று குறிக்கப்பட்டுள்ளது. தயவுசெய்து கீழே உள்ள பக்கத்தில் ஒவ்வொரு டிராக்கிங் ஐடியை கிளிக் செய்து பார்க்கவும், மீண்டும் இந்த பதிவு ஒரு நகல் என்று உறுதிசெய்யவும்."
duplicates.content.title,Duplicates content title message,Is {name} ({trackingId}) a duplicate?,{නම} ({ඊට ප්‍රථමවර්ගය}) දෙපලත්තුවක් වෙනස් වියද?,{name} ({trackingId}) ஒரு நகலாகுமா?
duplicates.review.header,Review page header for duplicates declarations,Potential {event} duplicate review,විධාන {event} අනුපාත සඳහා සබැඳිය විය හැකිය,{event} வரையறு மீண்டும் பரிசோதனை
duplicates.warning,The warning message shown when a declaration has potential duplicates,Potential duplicate of record {trackingId},හිමිකම් අංකය {trackingId} සහිත වාර්තාවක හැකිතාක් නක්ලයක් විය හැකිය,பதிவானது {trackingId} என்பதற்கான பதிவின் சாத்தியமான நகல் ஆக இருக்கலாம்
email.label.confirmation,Confirmation email address message,A verification code has been sent to {email},තහවුරු කේතය {email} වෙත යවා ඇත.,{email} க்கு ஒரு சரிபார்ப்பு குறியீடு அனுப்பப்பட்டுள்ளது.
error.code,Error code,401,401,401
error.draftFailed,Tips for failed declarations,This is some messaging on advicing the user on what to do... in the event of a failed declaration.,This is some messaging on advicing the user on what to do... in the event of a failed declaration.,This is some messaging on advicing the user on what to do... in the event of a failed declaration.
error.occurred,The error message that displays if we want the user to try the action again,An error occurred. Please try again.,දෝෂය සිද්. නැවත උත්සහා කරන්න.,ஒரு பிழை ஏற்பட்டுள்ளது. மீண்டும் முயற்சி செய்க.
error.page.load.failed,Error message when page failed to load,"Sorry, we couldn't load the content for this page","සමාවෙන්න, මෙම පිටුව සඳහා අන්තර්ගත කළ නොහොත් අපි අයත් කර නොමැති විය.","மன்னிக்கவும், இந்த பக்கத்திற்கான உள்ளடக்கத்தை ஏற்றுக்கொள்ள முடியவில்லை"
error.passwordSubmissionError,Error message when password verification fails,Sorry that password did not work,කරාත්මයෙන් ඉලක්කම සාර්ථකව කිරීමේ මුරපදය සාර්ථකව කිරීමට නොහැක,"மன்னிக்கவும், அந்த கடவுச்சொல் வேறு வேலை செய்யவில்லை"
error.required.password,New password required,New password is not valid,නව මුරපදය වලංගු නොවේ.,புதிய கடவுச்சொல் செல்லும் அளவு செல்லாது
error.search,The error message shown when a search query fails,An error occurred while searching,සෙවීම කිරීමේ වාර්තාවට දෝෂය හඩන්නේයි,தேடல் செய்யும் போது பிழை ஏற்பட்டது.
error.somethingWentWrong,Error description,Something went wrong.,කුමක් වැරදියි.,ஏதோ தவறு ஏற்பட்டுள்ளது.
error.title,Error title,Oops!,අයියෝ!,அய்யோ!
error.title.unauthorized,Error title unauthorized,Unauthorized!,අවිශ්‍යතාවයි!,அனுமதி இல்லை!
error.userListError,Error message when user list loads fails,Failed to load users,පරිශීලකයාගේ පැනය පූර්ව කළ නොහැකියි,பயனர்களை ஏற்றுக்கொள்ள தோல்வியடைந்தது
error.weAreTryingToFixThisError,Error description,This page could not be found,මෙම පිටුව හමුවෙන්නේ නැත,இந்த பக்கம் கண்டுபிடிக்கப்படவில்லை
event.birth.action.declare.form.label,This is what this form is referred as in the system,Birth decalration form,උපන්දින පිළිබඳ පෝරමය,பிறப்பு புரிவைப் பதிவு படிவம்
event.birth.action.declare.form.review.title,Title of the form to show in review page,Birth declaration for {firstname} {surname},{firstname} {surname} සඳහා උපලේඛනයක් ප්‍රකාශකිරීම.,{firstname} {surname} க்கான பிறப்பு அறிக்கை
event.birth.action.declare.form.section.documents.field.proofOfBirth.label,This is the label for the field,Proof of birth,උපලේඛනයට සහතිකයක්,பிறப்பு தொடர்பு
event.birth.action.declare.form.section.documents.field.proofOfFather.label,This is the label for the field,Proof of father's ID,පියාගේ හැඳුනුම් ප්‍රතිස්ථාපනය,அப்பாவின் அடையாளத்தின் தெரிவு
event.birth.action.declare.form.section.documents.field.proofOfMother.label,This is the label for the field,Proof of mother's ID,මව්ගේ හැඳුනුම් ප්‍රතිස්ථාපනය,தாயின் அடையாளம் சான்றிதழ்
event.birth.action.declare.form.section.documents.field.proofOther.label,This is the label for the field,Other,අමතර,மற்றொரு
event.birth.action.declare.form.version.1,This is the first version of the form,Version 1,සංස්කරණය 1,பதிப்பு 1
event.birth.action.declare.label,This is shown as the action name anywhere the user can trigger the action from,Declare,ප්‍රකාශයක් කරන්න,அறிக்கை
event.birth.label,This is what this event is referred as in the system,Birth declaration,උපන්දින ප්‍රකාශය,பிறப்பு அறிக்கை
event.birth.summary.title,This is the title of the summary,{child.firstname} {child.surname},{child.firstname} {child.surname},{child.firstname} {child.surname}
event.birth.workqueue.all.name.label,Label for name in all workqueue,{child.surname} {child.firstname},{child.firstname} {child.surname},{child.surname} {child.firstname}
events.status,,"{status, select, OUTBOX {Syncing..} CREATED {Draft} VALIDATED {Validated} DRAFT {Draft} DECLARED {Declared} REGISTERED {Registered} REJECTED {Requires update} ARCHIVED {Archived} MARKED_AS_DUPLICATE {Marked as a duplicate} NOTIFIED {In progress} other {Unknown}}","{status, select, OUTBOX {සිංදු කෙරෙමින්..} CREATED {උපාංගය} VALIDATED {වලංගු කරන ලදි} DRAFT {උපාංගය} DECLARED {ප්‍රකාශ කරන ලදි} REGISTERED {ලියාපදිංචි කරන ලදි} REJECTED {යළි සංවර්ධනය අවශ්‍ය වේ} ARCHIVED {ගත් ලිපිය} MARKED_AS_DUPLICATE {අනුපිටපත් කරන ලදි} NOTIFIED {ප්‍රකාශ කරන ලදි} other {නොදන්න}}","{status, select, OUTBOX {ஒப்பந்தம்..} CREATED {உத்தரவு} VALIDATED {சரிபார்க்கப்பட்டது} DRAFT {உத்தரவு} DECLARED {அறிக்கை செய்யப்பட்டது} REGISTERED {பதிவு செய்யப்பட்டது} REJECTED {புதுப்பிக்க தேவை} ARCHIVED {பதிவுசெய்யப்பட்டது} MARKED_AS_DUPLICATE {நகலாக குறிக்கப்பட்டது} NOTIFIED {செயல்பாடுகளில்} other {அறியப்படாது}}"
exitModal.cancel,The label for cancel button in exit modal,Cancel,අවලංගු කරන්න,ரத்து செய்
exitModal.exitWithoutSaving,The title for exit without saving modal,Exit without saving changes?,වෙනස් සුරකින්නේද?,மாற்றங்களை சேமிக்காதே வெளியேற வேண்டுமா?
exitModal.exitWithoutSavingDescription,The description for exit without saving modal,You have unsaved changes on your declaration form. Are you sure you want to exit without saving?,ඔබගේ ප්‍රකාශ පත්‍රයේ අසාර්ථක වෙනස්කම් ඇත. සුරකිමුවෙමින් සුරකිමු නොකිරීමට අවශ්‍යද?,உங்கள் பேரவை படிவத்தில் சேமிக்கப்படாத மாற்றங்கள் உள்ளன. சேமிக்காது வெளியேற வேண்டுமா?
fieldAgentHome.allUpdatesText,,Great job! You have updated all declarations,ස්ථානයේ සියලු ප්‍රලේඛන යාවත්කාලීන කරනවා!,மிகவும் நன்றாக செயல்பட்டுக்கொண்டீர்கள்! அனைத்து அறிக்கைகளையும் புதுப்பிக்கின்றீர்கள்.
fieldAgentHome.inProgressCount,,In progress ({total}),සිසුන් ({total}),செயல்பாடு ({total})
fieldAgentHome.queryError,The text when error ocurred loading rejected declarations,An error occurred while loading declarations,ප්‍රදේශීයයෙන් ප්‍රතිපල පූරණය කිරීමේ දෝෂය සිදු විය,விளக்கங்களை ஏற்றுதல் செய்யும் போது பிழை ஏற்பட்டது
fieldAgentHome.requireUpdatesCount,,Require updates ({total}),යාවත්කාලී අවශ්‍යයි ({total}),புதுப்பிக்கவும் ({total})
fieldAgentHome.requireUpdatesCountLoading,,Checking your declarations,ඔබගේ වාර්තා පරීක්ෂා කිරීමට පරිශීලකයාගේ නියාමිතව පරික්ෂා කරමු.,உங்கள் அறிக்கைகளை சரிபார்க்கிறேன்.
fieldAgentHome.sentForReviewCount,,Sent for review ({total}),සඳහන් කිරීමට යවන ලදි ({total}),மதிப்பீடுக்கு அனுப்பப்பட்டது ({total})
fieldAgentHome.zeroUpdatesText,,No declarations require updates,කිසිවක් විස්තර අවශ්‍ය නොවේ,எந்த அறிக்கைகளும் புதுப்பிக்க தேவையில்லை
foo.bar,bar,Foo,foo,bar
form.customField.label.numberOfDependants,,No. of dependants,අයිතියේ අංකය,சந்தையாளர்களின் எண்ணிக்கை
form.customField.label.reasonForLateRegistrationBirth,,Reason for delayed registration,විපරම් වූ ලියාපදිංචියට හේතුව,தாமதமான பதிவு செய்யும் காரணம்
form.customField.label.reasonForLateRegistrationDeath,,Reason for late registration,ප්‍රවේශ පිළිබඳ වෙනස් ලියාපදිංචියක්,தாமரை பதிவு தவறாக இருந்த காரணம்
form.field.SearchField.changeButtonLabel,,"{fieldName, select, registrationOffice {Change assigned office} other {Change health institute}}","{fieldName, select, registrationOffice {පාසැල වෙනස් කිරීම} other {සෞඛ්‍ය ආශිර වෙනස් කිරීම}}","{fieldName, select, registrationOffice {ஒப்பந்தப் பதிவு அலுவலகத்தை மாற்று} other {ஆரோக்கிய நிறுவனத்தை மாற்று}}"
form.field.SearchField.modalTitle,,"{fieldName, select, registrationOffice {Assigned registration office} other {Health institutions}}","{fieldName, select, registrationOffice {ලියාපදිංචි කාර්යාලය} other {සෞඛ්‍ය ආයෝජන}}","{fieldName, select, registrationOffice {பதிவு அலுவலகம் ஒதுக்கப்பட்டது} other {சுகாதார நிறுவங்கள்}}"
form.field.SearchField.officeLocationId,,Id: {locationId},අංකය: {locationId},ஐடி: {locationId}
form.field.SearchField.placeHolderText,,Search,සෙවුම,தேடல்
form.field.dateRangepicker.checkbox.dateLabel,,{rangeStart} to {rangeEnd},{rangeStart} සිට {rangeEnd} දක්වා දක්වා,{rangeStart} முதல் {rangeEnd} வரை
form.field.helpertext.nid,Helper text for nid input field,The National ID can only be numeric and must be 10 digits long,ජාතික හැඳුනුම් අංකය සංඛ්‍යාත්මයෙන් පමණි විය යුතු හා 10 දශක දිගු විය යුතුයි,தேசிய ஐடி எண்ணிக்கையாக மட்டுமே இருக்க வேண்டும் மற்றும் 10 இலக்கங்களாக இருக்க வேண்டும்.
form.field.hideLabel,Button to hide section,Hide,පැහැදිලි කරන්න,மறைக்க
form.field.label.NID,,NID,නි.අ.ඩි.,என் பெயர் {name} ஆகும்.
